topic~key,Book,Citation,bk1,c1,vf1,vt1,bk2,c2,vf2,vt2,bk3,c3,vf3,vt3,bk4,c4,vf4,vf4,bk5,c5,vf5,vt5,bk6,c6,vf6,vt6
le.ep.mc.d173~lemcLI.Epistle.chapverse,1 Corinthians,10.28-33; 11.1-8,1 Corinthians,10,28,33,1 Corinthians,11,1,8,,,,,,,,,,,,,,,,
le.ep.mc.d174~lemcLI.Epistle.chapverse,1 Corinthians,11.8-23,1 Corinthians,11,8,23,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d175~lemcLI.Epistle.chapverse,Romans,13.1-10,Romans,13,1,10,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d176~lemcLI.Epistle.chapverse,1 Corinthians,1.10-17,1 Corinthians,1,10,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d177~lemcLI.Epistle.chapverse,1 Corinthians,11.31-34; 12.1-6,1 Corinthians,11,31,34,1 Corinthians,12,1,6,,,,,,,,,,,,,,,,
le.ep.mc.d178~lemcLI.Epistle.chapverse,1 Corinthians,12.12-26,1 Corinthians,12,12,26,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d179~lemcLI.Epistle.chapverse,1 Corinthians,13.4-13; 14.1-5,1 Corinthians,13,4,13,1 Corinthians,14,1,5,,,,,,,,,,,,,,,,
le.ep.mc.d180~lemcLI.Epistle.chapverse,1 Corinthians,14.6-19,1 Corinthians,14,6,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d181~lemcLI.Epistle.chapverse,1 Corinthians,14.26-40,1 Corinthians,14,26,40,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d182~lemcLI.Epistle.chapverse,Romans,14.6-9,Romans,14,6,9,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d183~lemcLI.Epistle.chapverse,1 Corinthians,3.9-17,1 Corinthians,3,9,17,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d184~lemcLI.Epistle.chapverse,1 Corinthians,15.12-19,1 Corinthians,15,12,19,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d185~lemcLI.Epistle.chapverse,1 Corinthians,15.29-38,1 Corinthians,15,29,38,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d186~lemcLI.Epistle.chapverse,1 Corinthians,16.4-12,1 Corinthians,16,14,12,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d187~lemcLI.Epistle.chapverse,2 Corinthians,1.1-7,2 Corinthians,1,1,7,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d188~lemcLI.Epistle.chapverse,2 Corinthians,1.12-20,2 Corinthians,1,12,20,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d189~lemcLI.Epistle.chapverse,Romans,15.30-33,Romans,15,30,33,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d190~lemcLI.Epistle.chapverse,1 Corinthians,4.9-16,1 Corinthians,4,9,16,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d191~lemcLI.Epistle.chapverse,2 Corinthians,2.3-15,2 Corinthians,2,3,15,,,,,,,,,,,,,,,,,,,,
le.ep.mc.d192~lemcLI.Epistle.chapverse,2 Corinthians,2.14-17; 3.1-3,2 Corinthians,2,14,17,2 Corinthians,3,1,3,,,,,,,,,,,,,,,,
